"location_id","country","capitallongitude","capitallatitude","year"
168,"Syria","36.300000","33.5",261
168,"Syria","36.300000","33.5",262
168,"Syria","36.300000","33.5",263
168,"Syria","36.300000","33.5",264
168,"Syria","36.300000","33.5",265
168,"Syria","36.300000","33.5",266
168,"Syria","36.300000","33.5",267
168,"Syria","36.300000","33.5",268
168,"Syria","36.300000","33.5",269
168,"Syria","36.300000","33.5",270
210,"Spain","-3.683333","40.4",250
210,"Spain","-3.683333","40.4",251
210,"Spain","-3.683333","40.4",252
210,"Spain","-3.683333","40.4",253
210,"Spain","-3.683333","40.4",254
210,"Spain","-3.683333","40.4",255
210,"Spain","-3.683333","40.4",256
210,"Spain","-3.683333","40.4",257
210,"Spain","-3.683333","40.4",258
210,"Spain","-3.683333","40.4",259
210,"Spain","-3.683333","40.4",260
210,"Spain","-3.683333","40.4",261
210,"Spain","-3.683333","40.4",262
210,"Spain","-3.683333","40.4",263
210,"Spain","-3.683333","40.4",264
210,"Spain","-3.683333","40.4",265
210,"Spain","-3.683333","40.4",266
210,"Spain","-3.683333","40.4",267
210,"Spain","-3.683333","40.4",268
210,"Spain","-3.683333","40.4",269
210,"Spain","-3.683333","40.4",270
209,"Portugal","-9.133333","38.71666666666667",250
209,"Portugal","-9.133333","38.71666666666667",251
209,"Portugal","-9.133333","38.71666666666667",252
209,"Portugal","-9.133333","38.71666666666667",253
209,"Portugal","-9.133333","38.71666666666667",254
209,"Portugal","-9.133333","38.71666666666667",255
209,"Portugal","-9.133333","38.71666666666667",256
209,"Portugal","-9.133333","38.71666666666667",257
209,"Portugal","-9.133333","38.71666666666667",258
209,"Portugal","-9.133333","38.71666666666667",259
209,"Portugal","-9.133333","38.71666666666667",260
209,"Portugal","-9.133333","38.71666666666667",261
209,"Portugal","-9.133333","38.71666666666667",262
209,"Portugal","-9.133333","38.71666666666667",263
209,"Portugal","-9.133333","38.71666666666667",264
209,"Portugal","-9.133333","38.71666666666667",265
209,"Portugal","-9.133333","38.71666666666667",266
209,"Portugal","-9.133333","38.71666666666667",267
209,"Portugal","-9.133333","38.71666666666667",268
209,"Portugal","-9.133333","38.71666666666667",269
209,"Portugal","-9.133333","38.71666666666667",270
26,"Morocco","-6.816667","34.016666666666666",250
26,"Morocco","-6.816667","34.016666666666666",251
26,"Morocco","-6.816667","34.016666666666666",252
26,"Morocco","-6.816667","34.016666666666666",253
26,"Morocco","-6.816667","34.016666666666666",254
26,"Morocco","-6.816667","34.016666666666666",255
